,wm_yr_wk,state_id,store_id,sell_price,sales
0,11101,0,CA_1,2.982727272727272,78
1,11101,0,CA_2,2.537586206896552,86
2,11101,0,CA_3,2.700277777777777,142
3,11101,0,CA_4,2.32,26
4,11101,1,TX_1,2.8485185185185182,82
5,11101,1,TX_2,2.7512820512820504,185
6,11101,1,TX_3,3.0005263157894735,135
7,11101,2,WI_1,2.8643999999999994,55
8,11101,2,WI_2,2.7078571428571427,67
9,11101,2,WI_3,2.6331034482758615,82
10,11102,0,CA_1,2.8168749999999996,78
11,11102,0,CA_2,2.697045454545454,137
12,11102,0,CA_3,2.8406249999999993,118
13,11102,0,CA_4,2.7652380952380944,28
14,11102,1,TX_1,2.87060606060606,50
15,11102,1,TX_2,2.7152380952380946,197
16,11102,1,TX_3,2.9712765957446803,100
17,11102,2,WI_1,2.8264999999999993,73
18,11102,2,WI_2,3.0268888888888883,86
19,11102,2,WI_3,2.7913333333333328,84
20,11103,0,CA_1,2.857678571428571,90
21,11103,0,CA_2,2.6983636363636365,140
22,11103,0,CA_3,2.8489830508474565,135
23,11103,0,CA_4,2.7699999999999996,24
24,11103,1,TX_1,2.8433333333333333,103
25,11103,1,TX_2,2.710425531914893,209
26,11103,1,TX_3,2.918235294117647,99
27,11103,2,WI_1,2.8449122807017533,81
28,11103,2,WI_2,2.9485185185185174,79
29,11103,2,WI_3,2.8449999999999993,86
30,11104,0,CA_1,2.812333333333333,111
31,11104,0,CA_2,2.695689655172413,129
32,11104,0,CA_3,2.851166666666666,96
33,11104,0,CA_4,2.8579999999999997,23
34,11104,1,TX_1,2.8482000000000003,87
35,11104,1,TX_2,2.7967924528301884,199
36,11104,1,TX_3,2.977358490566037,140
37,11104,2,WI_1,2.8246666666666664,112
38,11104,2,WI_2,2.9269491525423725,80
39,11104,2,WI_3,2.8349206349206346,111
40,11105,0,CA_1,2.8190000000000004,89
41,11105,0,CA_2,2.7511864406779662,118
42,11105,0,CA_3,2.8836923076923076,164
43,11105,0,CA_4,2.918148148148148,29
44,11105,1,TX_1,2.8602,122
45,11105,1,TX_2,2.771500000000001,198
46,11105,1,TX_3,2.977358490566037,90
47,11105,2,WI_1,2.8321875000000003,102
48,11105,2,WI_2,2.9108196721311463,104
49,11105,2,WI_3,2.8229687500000002,156
50,11106,0,CA_1,2.803809523809524,122
51,11106,0,CA_2,2.8229687500000002,133
52,11106,0,CA_3,2.8836923076923076,140
53,11106,0,CA_4,2.849642857142857,22
54,11106,1,TX_1,2.9272727272727272,123
55,11106,1,TX_2,2.7961538461538464,183
56,11106,1,TX_3,2.99890909090909,83
57,11106,2,WI_1,2.8549253731343285,115
58,11106,2,WI_2,2.9333333333333327,124
59,11106,2,WI_3,2.8229687500000002,157
60,11107,0,CA_1,2.78089552238806,146
61,11107,0,CA_2,2.799857142857143,156
62,11107,0,CA_3,2.919861111111111,182
63,11107,0,CA_4,2.8308571428571425,40
64,11107,1,TX_1,2.9550877192982457,106
65,11107,1,TX_2,2.803823529411765,194
66,11107,1,TX_3,2.953999999999999,94
67,11107,2,WI_1,2.8477941176470587,113
68,11107,2,WI_2,2.9575384615384603,82
69,11107,2,WI_3,2.8501515151515155,126
70,11108,0,CA_1,2.7792647058823534,159
71,11108,0,CA_2,2.799857142857143,151
72,11108,0,CA_3,2.919861111111111,216
73,11108,0,CA_4,2.8999999999999995,40
74,11108,1,TX_1,2.9267796610169494,142
75,11108,1,TX_2,2.8090000000000006,159
76,11108,1,TX_3,2.950895522388058,126
77,11108,2,WI_1,2.8369999999999997,139
78,11108,2,WI_2,3.0316176470588223,67
79,11108,2,WI_3,2.859402985074627,138
80,11109,0,CA_1,2.7918571428571437,170
81,11109,0,CA_2,2.799857142857143,166
82,11109,0,CA_3,2.919861111111111,196
83,11109,0,CA_4,2.884666666666666,20
84,11109,1,TX_1,2.940454545454546,157
85,11109,1,TX_2,2.8183098591549305,168
86,11109,1,TX_3,2.9939999999999984,126
87,11109,2,WI_1,2.8261971830985915,145
88,11109,2,WI_2,3.01623188405797,67
89,11109,2,WI_3,2.8566176470588234,133
90,11110,0,CA_1,2.8037500000000004,136
91,11110,0,CA_2,2.8726760563380282,130
92,11110,0,CA_3,2.919861111111111,175
93,11110,0,CA_4,2.906888888888888,26
94,11110,1,TX_1,2.940454545454546,102
95,11110,1,TX_2,2.8759722222222224,176
96,11110,1,TX_3,2.9939999999999984,180
97,11110,2,WI_1,2.8261971830985915,112
98,11110,2,WI_2,3.0198571428571412,90
99,11110,2,WI_3,2.916231884057971,139
100,11111,0,CA_1,2.8176388888888892,153
101,11111,0,CA_2,2.8797183098591552,140
102,11111,0,CA_3,2.93375,168
103,11111,0,CA_4,2.941521739130434,26
104,11111,1,TX_1,2.970757575757576,93
105,11111,1,TX_2,2.8841095890410964,197
106,11111,1,TX_3,2.9978873239436608,162
107,11111,2,WI_1,2.847323943661972,112
108,11111,2,WI_2,3.031285714285713,87
109,11111,2,WI_3,2.9384285714285716,127
110,11112,0,CA_1,2.8176388888888892,144
111,11112,0,CA_2,2.8938028169014087,147
112,11112,0,CA_3,2.9476388888888887,214
113,11112,0,CA_4,2.941521739130434,30
